sensitivity_case,scenario,label,delivered_diesel_cost_usd_per_mwh,outage_duration_hours,hydrogen_capex_multiplier,carbon_price_usd_per_t,total_annual_cost_usd,lcoe_usd_per_mwh_served,diesel_mwh,diesel_co2_t,carbon_cost_usd,eens_mwh,lpsp,critical_load_served_ratio,survivable_outage_duration_h,resilience_penalty_usd,resilience_adjusted_cost_usd,battery_hydrogen_minus_diesel_battery_usd,battery_hydrogen_preferred_to_diesel_battery
24,diesel_battery,PV + diesel + battery,180.0,96.0,0.7,300.0,3242053.5170939513,311.52977226030873,6200.65198628,4340.456390396,1302136.9171187999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,3625480.2435314516,1556472.8531343043,False
24,battery_hydrogen,PV + battery + hydrogen,180.0,96.0,0.7,300.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,5181953.096665756,1556472.8531343043,False
25,diesel_battery,PV + diesel + battery,180.0,96.0,1.0,0.0,1939916.5999751515,186.40709457996837,6200.65198628,4340.456390396,0.0,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,2323343.3264126517,4025556.226467685,False
25,battery_hydrogen,PV + battery + hydrogen,180.0,96.0,1.0,0.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,6348899.5528803365,4025556.226467685,False
26,diesel_battery,PV + diesel + battery,180.0,96.0,1.0,150.0,2590985.0585345514,248.96843342013855,6200.65198628,4340.456390396,651068.4585593999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,2974411.7849720516,3374487.767908285,False
26,battery_hydrogen,PV + battery + hydrogen,180.0,96.0,1.0,150.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,6348899.5528803365,3374487.767908285,False
27,diesel_battery,PV + diesel + battery,180.0,96.0,1.0,300.0,3242053.5170939513,311.52977226030873,6200.65198628,4340.456390396,1302136.9171187999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,3625480.2435314516,2723419.309348885,False
27,battery_hydrogen,PV + battery + hydrogen,180.0,96.0,1.0,300.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,6348899.5528803365,2723419.309348885,False
28,diesel_battery,PV + diesel + battery,380.0,12.0,0.45,0.0,3180046.997231151,305.5715495136258,6200.65198628,4340.456390396,0.0,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,3193123.514931151,1016374.2015557871,False
28,battery_hydrogen,PV + battery + hydrogen,380.0,12.0,0.45,0.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4209497.716486938,1016374.2015557871,False
29,diesel_battery,PV + diesel + battery,380.0,12.0,0.45,150.0,3831115.455790551,368.132888353796,6200.65198628,4340.456390396,651068.4585593999,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,3844191.973490551,365305.7429963872,False
29,battery_hydrogen,PV + battery + hydrogen,380.0,12.0,0.45,150.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4209497.716486938,365305.7429963872,False
30,diesel_battery,PV + diesel + battery,380.0,12.0,0.45,300.0,4482183.914349951,430.6942271939661,6200.65198628,4340.456390396,1302136.9171187999,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,4495260.432049951,-285762.7155630123,True
